0,1,2,3,4
The Thin Red Line,http://www.imdb.com/title/tt0120863/,http://technoir.nl/post/63824606645/october2013-thethinredline,"'What's this war in the heart of nature? Why does nature vie with itself? The land contend with the sea? Is there an avenging power in nature? Not one power, but two?'
The Thin Red Line (1998)",http://38.media.tumblr.com/0005b01489262c278f5f662a9361c870/tumblr_muk9ap4I6Q1qghl49o1_500.gif
Hero,http://www.imdb.com/title/tt0299977/,http://technoir.nl/post/63480953570/october2013-hero,"'Snow knew I had been rootless since childhood living nowhere and everywhere. She often said to me, once we had succeeded in killing the king, she would take me back to her home. She said no swords existed there, and no swordsman. There would be only a man and a woman.'
Hero (2002)",http://38.media.tumblr.com/c2508ee26247d64b848c60716839cf0c/tumblr_mu91tkAuG41qghl49o1_r2_500.gif
Eternal Sunshine of the Spotless Mind,http://www.imdb.com/title/tt0338013/,http://technoir.nl/post/63180217738/october2013-eternalsunshineofthespotlessmind,"'Look where we are!'
Eternal Sunshine of the Spotless Mind (2004)",http://31.media.tumblr.com/5753716ac04b01874a4fd9e5b256d3e6/tumblr_mu7dqh4xyG1qghl49o1_r2_500.gif
Submarine,http://www.imdb.com/title/tt1440292/,http://technoir.nl/post/62435017095/september2013-submarine,"'Jordana hates any place that could be termed romantic. With this in mind, I took her to one of my favourite industrial estates, for some quality one-on-one time.'
Submarine (2010)",http://33.media.tumblr.com/1e1debb19bce17df09a2e60c4fafeebf/tumblr_mtss08w0KG1qghl49o1_500.gif
L'année dernière à Marienbad,http://www.imdb.com/title/tt0054632/,http://technoir.nl/post/62273703228/september2013-lanneederniereamarienbad,"'You never seemed to be waiting for me&#8230; but we kept meeting at every turn in the path, behind every shrub, at the foot of every statue, at the edge of every fountain. It was as if in that entire garden there were only you and me.'
L&#8217;année dernière à Marienbad (1961)",http://37.media.tumblr.com/4ac320842dffa0d1a08d373742c7b031/tumblr_mtpb34LraL1qghl49o1_r2_500.gif
La Dolce Vita,http://www.imdb.com/title/tt0053779/,http://technoir.nl/post/61241208214/september2013-ladolcevita,"'Listen.'
La Dolce Vita (1960)",http://37.media.tumblr.com/70ee78f15fc97bf48e9fe9255c539073/tumblr_mt4xuxSdJw1qghl49o1_500.gif
Terminator 2: Judgment Day,http://www.imdb.com/title/tt0103064/,http://technoir.nl/post/60581167131/september2013-terminator2judgmentday,"&#8216;The survivors of the nuclear fire called the war Judgment Day. They lived only to face a new nightmare: the war against the machines.&#8217;
Terminator 2: Judgment Day (1991)",http://31.media.tumblr.com/bfe82d3f23fc3fe6b8c1d8e0cab0198a/tumblr_msrxkoQvL41qghl49o1_r1_500.gif
Fight Club,http://www.imdb.com/title/tt0137523/,http://technoir.nl/post/60080079726/september2013-fightclub,"'Marla&#8230; the little scratch on the roof of your mouth that would heal if only you could stop tonguing it, but you can't.'
Fight Club (1999)",http://31.media.tumblr.com/d0245f086e835c5dad44f0b08c7a5203/tumblr_msi0h5Bq941qghl49o1_500.gif
"Paris, Texas",http://www.imdb.com/title/tt0087884/,http://technoir.nl/post/59708134127/august2013-paristexas,"'Hi, can I tell you something? &#8230; Sure, anything you like.'
Paris, Texas (1984)",http://38.media.tumblr.com/8da910610be024705c9139cd735ea0cc/tumblr_ms1ln0aWRY1qghl49o1_r1_500.gif
Hero,http://www.imdb.com/title/tt0299977/,http://technoir.nl/post/59420481764/august2013-hero,"'Since you wish to die, I will assist you.'
Hero (2002)",http://38.media.tumblr.com/f074499b2ac51d53d4abf3db7ad5513b/tumblr_mrw22syZJW1qghl49o1_500.gif
